frame,number of objects
3000,"[[1.0, 45.0, 123.0, 198.0, 0.9022626876831055, 2.0], [72.0, 0.0, 116.0, 28.0, 0.7558902502059937, 2.0], [374.0, 2.0, 480.0, 79.0, 0.6701909303665161, 2.0], [252.0, 1.0, 279.0, 16.0, 0.6622253060340881, 2.0], [193.0, 1.0, 234.0, 24.0, 0.3582044243812561, 2.0]]"
3100,"[[259.0, 10.0, 459.0, 136.0, 0.8392940759658813, 2.0], [179.0, 4.0, 257.0, 35.0, 0.7116032242774963, 2.0], [297.0, 1.0, 321.0, 26.0, 0.5404248833656311, 2.0], [78.0, 0.0, 122.0, 38.0, 0.5135025978088379, 2.0], [263.0, 2.0, 286.0, 27.0, 0.45542797446250916, 2.0]]"
3200,"[[371.0, 0.0, 477.0, 56.0, 0.888609766960144, 2.0], [28.0, 5.0, 252.0, 93.0, 0.796542227268219, 2.0], [36.0, 22.0, 399.0, 169.0, 0.6834640502929688, 2.0], [0.0, 0.0, 21.0, 31.0, 0.5528045296669006, 2.0], [145.0, 56.0, 247.0, 261.0, 0.3082302510738373, 2.0], [93.0, 0.0, 134.0, 18.0, 0.2595135271549225, 2.0]]"
3300,"[[267.0, 5.0, 454.0, 103.0, 0.9127770662307739, 2.0], [0.0, 0.0, 68.0, 35.0, 0.8643829822540283, 2.0], [270.0, 0.0, 315.0, 17.0, 0.4749529957771301, 2.0], [1.0, 36.0, 134.0, 244.0, 0.4167695939540863, 2.0], [143.0, 1.0, 173.0, 25.0, 0.34297481179237366, 2.0]]"
3400,"[[71.0, 90.0, 112.0, 124.0, 0.8586788177490234, 2.0], [52.0, 84.0, 74.0, 99.0, 0.7634362578392029, 2.0], [412.0, 92.0, 480.0, 134.0, 0.5027183294296265, 2.0], [359.0, 86.0, 382.0, 110.0, 0.4048328101634979, 2.0], [22.0, 85.0, 36.0, 97.0, 0.38316625356674194, 2.0], [26.0, 85.0, 43.0, 97.0, 0.323226660490036, 2.0], [36.0, 84.0, 50.0, 97.0, 0.3191775381565094, 2.0], [16.0, 85.0, 30.0, 96.0, 0.28993597626686096, 2.0], [407.0, 94.0, 447.0, 161.0, 0.26988232135772705, 2.0], [467.0, 96.0, 480.0, 112.0, 0.2657420337200165, 2.0], [403.0, 86.0, 469.0, 107.0, 0.26318660378456116, 2.0], [140.0, 89.0, 151.0, 101.0, 0.25600168108940125, 2.0]]"
3500,"[[0.0, 123.0, 20.0, 171.0, 0.8506138324737549, 2.0], [2.0, 95.0, 35.0, 112.0, 0.5214458107948303, 2.0], [44.0, 95.0, 62.0, 108.0, 0.4022454619407654, 2.0]]"
3600,[]
3700,[]
3800,"[[0.0, 181.0, 324.0, 268.0, 0.8224291801452637, 2.0], [5.0, 131.0, 183.0, 199.0, 0.761570930480957, 2.0]]"
3900,"[[92.0, 126.0, 311.0, 226.0, 0.940539538860321, 2.0], [248.0, 120.0, 415.0, 197.0, 0.9034380316734314, 2.0], [276.0, 95.0, 439.0, 167.0, 0.6957035660743713, 2.0], [222.0, 102.0, 267.0, 127.0, 0.28702670335769653, 2.0]]"
4000,"[[187.0, 120.0, 376.0, 196.0, 0.9285607933998108, 2.0], [1.0, 128.0, 189.0, 221.0, 0.9185897707939148, 2.0], [321.0, 114.0, 449.0, 167.0, 0.5813263058662415, 2.0], [6.0, 96.0, 35.0, 130.0, 0.33212578296661377, 2.0]]"
4100,"[[297.0, 119.0, 468.0, 199.0, 0.9085703492164612, 2.0], [231.0, 114.0, 312.0, 162.0, 0.8541960120201111, 2.0], [0.0, 131.0, 54.0, 206.0, 0.7276978492736816, 2.0]]"
4200,"[[284.0, 103.0, 478.0, 185.0, 0.9058539271354675, 2.0], [149.0, 111.0, 205.0, 177.0, 0.2940543591976166, 2.0]]"
4300,"[[179.0, 114.0, 338.0, 193.0, 0.9077244400978088, 2.0], [177.0, 105.0, 227.0, 131.0, 0.4400896728038788, 2.0]]"
4400,"[[122.0, 142.0, 301.0, 237.0, 0.9282160997390747, 2.0], [262.0, 118.0, 453.0, 205.0, 0.8828535676002502, 2.0], [0.0, 116.0, 13.0, 143.0, 0.33667412400245667, 2.0]]"
4500,"[[214.0, 145.0, 340.0, 230.0, 0.935849130153656, 2.0], [2.0, 152.0, 159.0, 248.0, 0.92987459897995, 2.0], [168.0, 136.0, 246.0, 199.0, 0.5622381567955017, 2.0], [382.0, 139.0, 477.0, 195.0, 0.5465234518051147, 2.0], [308.0, 141.0, 383.0, 196.0, 0.3381458520889282, 2.0], [193.0, 133.0, 248.0, 154.0, 0.2769583761692047, 2.0], [304.0, 141.0, 447.0, 205.0, 0.27674365043640137, 2.0]]"
4600,"[[61.0, 146.0, 285.0, 242.0, 0.9355442523956299, 2.0], [384.0, 133.0, 480.0, 186.0, 0.9079092144966125, 2.0], [218.0, 138.0, 365.0, 202.0, 0.8577701449394226, 2.0], [452.0, 159.0, 480.0, 210.0, 0.8193249106407166, 2.0], [1.0, 113.0, 37.0, 146.0, 0.3035205602645874, 2.0], [0.0, 113.0, 15.0, 144.0, 0.2934763431549072, 2.0]]"
4700,"[[3.0, 55.0, 164.0, 120.0, 0.8668698668479919, 2.0], [154.0, 56.0, 385.0, 148.0, 0.8667640686035156, 2.0], [98.0, 116.0, 480.0, 269.0, 0.8570346236228943, 2.0], [0.0, 104.0, 63.0, 220.0, 0.8142763376235962, 2.0], [298.0, 41.0, 437.0, 95.0, 0.8083679676055908, 2.0], [0.0, 29.0, 38.0, 57.0, 0.6120102405548096, 2.0], [116.0, 22.0, 160.0, 46.0, 0.6065046191215515, 2.0], [35.0, 32.0, 114.0, 54.0, 0.5372583866119385, 2.0], [372.0, 66.0, 479.0, 141.0, 0.5239145755767822, 2.0], [137.0, 22.0, 172.0, 45.0, 0.5084827542304993, 2.0], [164.0, 20.0, 209.0, 41.0, 0.4601452350616455, 2.0], [174.0, 29.0, 232.0, 61.0, 0.37652480602264404, 2.0], [99.0, 27.0, 144.0, 48.0, 0.2599982023239136, 2.0]]"
4800,"[[3.0, 65.0, 291.0, 257.0, 0.9455928206443787, 2.0], [205.0, 57.0, 408.0, 130.0, 0.9256846308708191, 2.0], [416.0, 68.0, 480.0, 165.0, 0.7994053363800049, 2.0], [311.0, 37.0, 364.0, 62.0, 0.6536973118782043, 2.0], [89.0, 48.0, 209.0, 94.0, 0.6007139086723328, 2.0], [230.0, 34.0, 318.0, 57.0, 0.5497778654098511, 2.0], [339.0, 19.0, 400.0, 48.0, 0.547993004322052, 2.0], [220.0, 31.0, 275.0, 55.0, 0.37479835748672485, 2.0], [450.0, 34.0, 480.0, 81.0, 0.30703893303871155, 2.0], [32.0, 38.0, 71.0, 62.0, 0.30458781123161316, 2.0], [160.0, 37.0, 204.0, 61.0, 0.3013744056224823, 2.0]]"
4900,"[[0.0, 84.0, 186.0, 237.0, 0.8824846148490906, 2.0], [240.0, 74.0, 478.0, 270.0, 0.8542832136154175, 2.0], [415.0, 59.0, 480.0, 93.0, 0.8091341257095337, 2.0], [69.0, 76.0, 228.0, 161.0, 0.766680896282196, 2.0], [195.0, 74.0, 304.0, 132.0, 0.7530544996261597, 2.0], [355.0, 51.0, 413.0, 74.0, 0.6231188774108887, 2.0], [411.0, 49.0, 461.0, 70.0, 0.5401573777198792, 2.0], [247.0, 57.0, 293.0, 78.0, 0.45506882667541504, 2.0], [288.0, 56.0, 322.0, 76.0, 0.4033944308757782, 2.0], [67.0, 60.0, 163.0, 86.0, 0.3970569372177124, 2.0], [0.0, 64.0, 25.0, 84.0, 0.3824586570262909, 2.0], [203.0, 68.0, 404.0, 135.0, 0.3380497992038727, 2.0], [217.0, 56.0, 272.0, 79.0, 0.25007811188697815, 2.0]]"
5000,"[[36.0, 82.0, 83.0, 115.0, 0.8460801839828491, 2.0], [402.0, 104.0, 480.0, 188.0, 0.8434832096099854, 2.0], [109.0, 103.0, 479.0, 268.0, 0.8368668556213379, 2.0], [24.0, 75.0, 52.0, 103.0, 0.7632994055747986, 2.0], [82.0, 75.0, 175.0, 137.0, 0.7038095593452454, 2.0], [378.0, 74.0, 419.0, 100.0, 0.5175159573554993, 2.0], [206.0, 77.0, 317.0, 107.0, 0.47271597385406494, 2.0], [438.0, 71.0, 480.0, 99.0, 0.46618780493736267, 2.0], [299.0, 68.0, 384.0, 102.0, 0.33200278878211975, 2.0], [340.0, 74.0, 354.0, 107.0, 0.30505576729774475, 2.0], [65.0, 77.0, 89.0, 90.0, 0.30211836099624634, 2.0], [47.0, 68.0, 62.0, 81.0, 0.29597651958465576, 2.0]]"
5100,"[[300.0, 89.0, 480.0, 199.0, 0.9222452044487, 2.0], [87.0, 90.0, 145.0, 131.0, 0.8631992340087891, 2.0], [60.0, 84.0, 91.0, 115.0, 0.8011533617973328, 2.0], [125.0, 87.0, 155.0, 112.0, 0.7224271297454834, 2.0], [148.0, 91.0, 286.0, 177.0, 0.5514616370201111, 2.0], [143.0, 85.0, 166.0, 100.0, 0.5022630095481873, 2.0], [102.0, 84.0, 126.0, 94.0, 0.3606886565685272, 2.0], [62.0, 83.0, 91.0, 99.0, 0.3090899586677551, 2.0]]"
