frame,number of objects
21,"[[722.0, 228.0, 800.0, 274.0, 0.9069064855575562, 2.0], [275.0, 219.0, 348.0, 267.0, 0.899899959564209, 2.0], [639.0, 230.0, 727.0, 266.0, 0.8506488800048828, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8352556824684143, 2.0], [105.0, 211.0, 173.0, 259.0, 0.8114819526672363, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7324867248535156, 2.0], [200.0, 220.0, 224.0, 238.0, 0.7307730913162231, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7221460938453674, 2.0], [170.0, 218.0, 189.0, 235.0, 0.6365051865577698, 2.0], [542.0, 217.0, 594.0, 256.0, 0.4731275141239166, 2.0], [230.0, 220.0, 245.0, 231.0, 0.42732247710227966, 2.0]]"
22,"[[722.0, 228.0, 800.0, 274.0, 0.9087448120117188, 2.0], [277.0, 219.0, 348.0, 267.0, 0.9047189354896545, 2.0], [639.0, 230.0, 727.0, 266.0, 0.8487949371337891, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8357564806938171, 2.0], [105.0, 211.0, 173.0, 259.0, 0.8107244968414307, 2.0], [200.0, 220.0, 225.0, 238.0, 0.73436439037323, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7324289083480835, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7198284864425659, 2.0], [170.0, 219.0, 189.0, 235.0, 0.6431578397750854, 2.0], [542.0, 217.0, 594.0, 256.0, 0.47368067502975464, 2.0], [230.0, 220.0, 245.0, 231.0, 0.4618685245513916, 2.0]]"
23,"[[722.0, 228.0, 800.0, 274.0, 0.9082592129707336, 2.0], [278.0, 219.0, 350.0, 267.0, 0.9053877592086792, 2.0], [639.0, 230.0, 727.0, 266.0, 0.8490382432937622, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8329092264175415, 2.0], [105.0, 211.0, 173.0, 259.0, 0.8102232217788696, 2.0], [200.0, 220.0, 226.0, 238.0, 0.754732608795166, 2.0], [455.0, 218.0, 494.0, 242.0, 0.7341477274894714, 2.0], [488.0, 220.0, 546.0, 248.0, 0.725556492805481, 2.0], [170.0, 219.0, 189.0, 235.0, 0.6467018127441406, 2.0], [541.0, 217.0, 594.0, 256.0, 0.4858971834182739, 2.0], [229.0, 221.0, 244.0, 231.0, 0.4735596477985382, 2.0]]"
24,"[[279.0, 219.0, 353.0, 269.0, 0.9148964285850525, 2.0], [722.0, 228.0, 800.0, 274.0, 0.9089518189430237, 2.0], [639.0, 230.0, 727.0, 266.0, 0.8485773801803589, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8314371109008789, 2.0], [105.0, 211.0, 173.0, 259.0, 0.812471866607666, 2.0], [201.0, 221.0, 227.0, 238.0, 0.7369584441184998, 2.0], [455.0, 218.0, 494.0, 242.0, 0.7337753176689148, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7212616801261902, 2.0], [170.0, 219.0, 189.0, 235.0, 0.6420472264289856, 2.0], [542.0, 217.0, 594.0, 256.0, 0.4871509373188019, 2.0], [229.0, 220.0, 244.0, 232.0, 0.4654633402824402, 2.0]]"
25,"[[280.0, 219.0, 356.0, 269.0, 0.9171282052993774, 2.0], [722.0, 228.0, 800.0, 274.0, 0.9089440107345581, 2.0], [639.0, 230.0, 727.0, 266.0, 0.8487743139266968, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8327746391296387, 2.0], [105.0, 211.0, 173.0, 259.0, 0.8110987544059753, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7381644248962402, 2.0], [201.0, 221.0, 227.0, 238.0, 0.7340558767318726, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7212640643119812, 2.0], [170.0, 219.0, 189.0, 235.0, 0.631351113319397, 2.0], [542.0, 217.0, 594.0, 256.0, 0.49346786737442017, 2.0], [229.0, 220.0, 244.0, 231.0, 0.40717506408691406, 2.0]]"
26,"[[722.0, 228.0, 800.0, 274.0, 0.9099303483963013, 2.0], [281.0, 219.0, 357.0, 270.0, 0.8969514966011047, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8572704195976257, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8287538886070251, 2.0], [106.0, 211.0, 173.0, 259.0, 0.8079884648323059, 2.0], [201.0, 221.0, 228.0, 238.0, 0.7451996803283691, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7352657914161682, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7188672423362732, 2.0], [170.0, 219.0, 189.0, 235.0, 0.6383403539657593, 2.0], [542.0, 217.0, 594.0, 256.0, 0.49814194440841675, 2.0], [229.0, 220.0, 244.0, 232.0, 0.4101926386356354, 2.0]]"
27,"[[722.0, 228.0, 800.0, 274.0, 0.909744143486023, 2.0], [283.0, 219.0, 358.0, 270.0, 0.8873520493507385, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8564244508743286, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8237211108207703, 2.0], [106.0, 211.0, 172.0, 259.0, 0.8010187149047852, 2.0], [202.0, 220.0, 228.0, 239.0, 0.7437417507171631, 2.0], [454.0, 218.0, 494.0, 242.0, 0.734148383140564, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7146352529525757, 2.0], [170.0, 219.0, 189.0, 235.0, 0.6462085843086243, 2.0], [542.0, 217.0, 594.0, 256.0, 0.5072959065437317, 2.0], [229.0, 220.0, 243.0, 232.0, 0.4142632782459259, 2.0]]"
28,"[[722.0, 228.0, 800.0, 274.0, 0.9100514054298401, 2.0], [283.0, 218.0, 360.0, 270.0, 0.8994473218917847, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8563761711120605, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8166403770446777, 2.0], [106.0, 211.0, 172.0, 259.0, 0.7897231578826904, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7391951084136963, 2.0], [202.0, 220.0, 228.0, 239.0, 0.7286549806594849, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7213213443756104, 2.0], [169.0, 219.0, 189.0, 235.0, 0.6444892287254333, 2.0], [542.0, 218.0, 594.0, 256.0, 0.5040571689605713, 2.0], [229.0, 220.0, 243.0, 232.0, 0.422253280878067, 2.0]]"
29,"[[722.0, 228.0, 800.0, 274.0, 0.9073809385299683, 2.0], [284.0, 219.0, 362.0, 271.0, 0.9020211696624756, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8552095293998718, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8131378293037415, 2.0], [105.0, 211.0, 172.0, 259.0, 0.7920793294906616, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7354735732078552, 2.0], [488.0, 220.0, 546.0, 248.0, 0.720449686050415, 2.0], [203.0, 220.0, 229.0, 239.0, 0.7080740928649902, 2.0], [170.0, 219.0, 189.0, 235.0, 0.6431795358657837, 2.0], [543.0, 217.0, 594.0, 256.0, 0.5028777718544006, 2.0], [229.0, 220.0, 243.0, 232.0, 0.43745341897010803, 2.0]]"
30,"[[285.0, 218.0, 365.0, 271.0, 0.9175865054130554, 2.0], [722.0, 228.0, 800.0, 274.0, 0.9071534276008606, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8548850417137146, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8143138885498047, 2.0], [105.0, 211.0, 172.0, 259.0, 0.7905352711677551, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7384995222091675, 2.0], [203.0, 220.0, 228.0, 239.0, 0.7384026646614075, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7232416868209839, 2.0], [170.0, 219.0, 189.0, 235.0, 0.6396055817604065, 2.0], [543.0, 217.0, 594.0, 256.0, 0.49720051884651184, 2.0], [228.0, 220.0, 243.0, 232.0, 0.4772109389305115, 2.0]]"
31,"[[287.0, 219.0, 367.0, 271.0, 0.9151864647865295, 2.0], [722.0, 228.0, 800.0, 274.0, 0.9063343405723572, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8543193340301514, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8134517073631287, 2.0], [105.0, 211.0, 172.0, 259.0, 0.7834979891777039, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7359278202056885, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7231776714324951, 2.0], [204.0, 220.0, 229.0, 239.0, 0.7176131010055542, 2.0], [170.0, 219.0, 189.0, 235.0, 0.6353625059127808, 2.0], [543.0, 217.0, 594.0, 256.0, 0.4896354079246521, 2.0], [228.0, 220.0, 242.0, 232.0, 0.454421728849411, 2.0]]"
32,"[[289.0, 218.0, 370.0, 272.0, 0.9178704619407654, 2.0], [722.0, 228.0, 800.0, 274.0, 0.9070287942886353, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8559346199035645, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8161897659301758, 2.0], [106.0, 211.0, 173.0, 260.0, 0.7819286584854126, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7434040307998657, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7235684394836426, 2.0], [204.0, 220.0, 229.0, 239.0, 0.7090379595756531, 2.0], [170.0, 219.0, 189.0, 235.0, 0.6471537947654724, 2.0], [544.0, 217.0, 594.0, 256.0, 0.4955853521823883, 2.0], [228.0, 221.0, 242.0, 233.0, 0.3497803807258606, 2.0]]"
33,"[[290.0, 218.0, 372.0, 272.0, 0.9195322394371033, 2.0], [722.0, 228.0, 800.0, 274.0, 0.9071138501167297, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8545017242431641, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8213198184967041, 2.0], [105.0, 211.0, 172.0, 259.0, 0.7870799899101257, 2.0], [454.0, 218.0, 495.0, 242.0, 0.7467960119247437, 2.0], [488.0, 220.0, 547.0, 248.0, 0.7226657867431641, 2.0], [204.0, 221.0, 230.0, 240.0, 0.713409960269928, 2.0], [170.0, 219.0, 190.0, 235.0, 0.61062091588974, 2.0], [543.0, 217.0, 593.0, 256.0, 0.4906115233898163, 2.0], [229.0, 221.0, 242.0, 234.0, 0.3395663797855377, 2.0]]"
34,"[[292.0, 218.0, 373.0, 273.0, 0.9287799000740051, 2.0], [722.0, 228.0, 800.0, 274.0, 0.9072981476783752, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8554053902626038, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8243961334228516, 2.0], [105.0, 211.0, 172.0, 259.0, 0.7790907621383667, 2.0], [454.0, 218.0, 495.0, 242.0, 0.749604344367981, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7245555520057678, 2.0], [204.0, 221.0, 231.0, 240.0, 0.7065006494522095, 2.0], [170.0, 219.0, 190.0, 235.0, 0.6292902827262878, 2.0], [543.0, 217.0, 593.0, 256.0, 0.4922826588153839, 2.0], [229.0, 222.0, 242.0, 237.0, 0.2714633047580719, 2.0]]"
