frame,number of objects
5800,"[[366.0, 134.0, 387.0, 172.0, 0.5387880802154541, 0.0], [463.0, 194.0, 485.0, 232.0, 0.5100497007369995, 0.0], [430.0, 204.0, 455.0, 247.0, 0.4215746223926544, 0.0], [446.0, 117.0, 459.0, 152.0, 0.41392651200294495, 0.0], [56.0, 115.0, 75.0, 143.0, 0.3730385899543762, 0.0], [125.0, 70.0, 137.0, 89.0, 0.34725216031074524, 0.0]]"
5900,"[[140.0, 66.0, 149.0, 84.0, 0.4149855971336365, 0.0], [331.0, 84.0, 342.0, 108.0, 0.306316077709198, 0.0], [344.0, 78.0, 356.0, 101.0, 0.2819732129573822, 0.0]]"
6000,"[[333.0, 280.0, 367.0, 332.0, 0.7269989252090454, 0.0], [418.0, 300.0, 454.0, 343.0, 0.619913637638092, 0.0], [55.0, 122.0, 74.0, 155.0, 0.5492775440216064, 0.0], [364.0, 144.0, 383.0, 180.0, 0.47651851177215576, 0.0], [531.0, 137.0, 552.0, 176.0, 0.4713919162750244, 0.0], [439.0, 88.0, 453.0, 104.0, 0.3488544225692749, 0.0], [618.0, 82.0, 627.0, 107.0, 0.2541835904121399, 0.0]]"
6100,"[[141.0, 85.0, 153.0, 109.0, 0.5966273546218872, 0.0], [92.0, 83.0, 105.0, 106.0, 0.5888181328773499, 0.0], [534.0, 134.0, 557.0, 170.0, 0.487056165933609, 0.0], [469.0, 171.0, 492.0, 214.0, 0.432326078414917, 0.0], [489.0, 141.0, 506.0, 168.0, 0.4156341254711151, 0.0], [187.0, 70.0, 197.0, 90.0, 0.30200228095054626, 0.0], [353.0, 101.0, 368.0, 139.0, 0.26524078845977783, 0.0]]"
6200,"[[574.0, 161.0, 593.0, 181.0, 0.5554386973381042, 0.0], [407.0, 112.0, 417.0, 133.0, 0.4190567433834076, 0.0]]"
6300,"[[357.0, 138.0, 376.0, 171.0, 0.43917685747146606, 0.0], [158.0, 87.0, 171.0, 112.0, 0.42506861686706543, 0.0]]"
6400,"[[601.0, 216.0, 632.0, 256.0, 0.6015855669975281, 0.0], [135.0, 107.0, 152.0, 137.0, 0.46812865138053894, 0.0], [349.0, 105.0, 362.0, 136.0, 0.2938169538974762, 0.0], [372.0, 101.0, 383.0, 122.0, 0.27244314551353455, 0.0]]"
6500,"[[446.0, 259.0, 478.0, 310.0, 0.7116622924804688, 0.0], [99.0, 90.0, 112.0, 116.0, 0.5332149267196655, 0.0], [0.0, 81.0, 8.0, 105.0, 0.31773650646209717, 0.0]]"
6600,"[[492.0, 97.0, 505.0, 125.0, 0.5593065619468689, 0.0], [431.0, 206.0, 459.0, 241.0, 0.5387078523635864, 0.0], [30.0, 126.0, 52.0, 161.0, 0.5197100639343262, 0.0], [367.0, 196.0, 391.0, 238.0, 0.5160841345787048, 0.0], [109.0, 99.0, 124.0, 119.0, 0.36088380217552185, 0.0]]"
6700,"[[356.0, 183.0, 375.0, 215.0, 0.5200724601745605, 0.0], [386.0, 148.0, 405.0, 176.0, 0.4350542426109314, 0.0], [399.0, 169.0, 419.0, 204.0, 0.41928914189338684, 0.0], [119.0, 88.0, 133.0, 113.0, 0.3806806802749634, 0.0], [453.0, 92.0, 466.0, 120.0, 0.36853674054145813, 0.0], [385.0, 159.0, 411.0, 196.0, 0.2577740252017975, 0.0]]"
6800,"[[386.0, 143.0, 404.0, 178.0, 0.6599440574645996, 0.0], [476.0, 127.0, 493.0, 164.0, 0.5576648116111755, 0.0], [350.0, 213.0, 375.0, 241.0, 0.5274247527122498, 0.0], [536.0, 76.0, 547.0, 103.0, 0.2676863968372345, 0.0]]"
6900,"[[468.0, 243.0, 499.0, 298.0, 0.5319175124168396, 0.0], [561.0, 83.0, 571.0, 108.0, 0.49178290367126465, 0.0], [73.0, 93.0, 89.0, 120.0, 0.42355164885520935, 0.0], [587.0, 62.0, 598.0, 90.0, 0.32687410712242126, 0.0], [453.0, 238.0, 474.0, 285.0, 0.29136985540390015, 0.0]]"
7000,"[[53.0, 140.0, 78.0, 179.0, 0.59963059425354, 0.0], [563.0, 91.0, 576.0, 124.0, 0.5880126953125, 0.0], [586.0, 95.0, 598.0, 125.0, 0.5308164358139038, 0.0], [152.0, 54.0, 160.0, 71.0, 0.47796735167503357, 0.0], [120.0, 67.0, 132.0, 88.0, 0.4553256630897522, 0.0], [124.0, 100.0, 138.0, 125.0, 0.433284193277359, 0.0], [589.0, 64.0, 599.0, 90.0, 0.3688066005706787, 0.0]]"
7100,"[[625.0, 114.0, 639.0, 150.0, 0.6045064330101013, 0.0], [541.0, 88.0, 553.0, 115.0, 0.5251284837722778, 0.0], [390.0, 105.0, 403.0, 138.0, 0.48336952924728394, 0.0], [604.0, 115.0, 614.0, 146.0, 0.309851735830307, 0.0], [135.0, 81.0, 146.0, 101.0, 0.27953609824180603, 0.0], [612.0, 111.0, 622.0, 142.0, 0.2649179995059967, 0.0]]"
7200,"[[576.0, 93.0, 589.0, 123.0, 0.6364396214485168, 0.0], [328.0, 96.0, 342.0, 127.0, 0.5372737050056458, 0.0]]"
7300,"[[598.0, 110.0, 612.0, 144.0, 0.6017970442771912, 0.0], [332.0, 132.0, 348.0, 165.0, 0.5276206731796265, 0.0], [612.0, 113.0, 623.0, 144.0, 0.4141272008419037, 0.0]]"
7400,"[[317.0, 129.0, 333.0, 164.0, 0.6648741364479065, 0.0], [113.0, 94.0, 126.0, 118.0, 0.40535953640937805, 0.0], [493.0, 90.0, 504.0, 116.0, 0.298768013715744, 0.0], [605.0, 77.0, 625.0, 103.0, 0.2896377146244049, 0.0]]"
7500,"[[581.0, 78.0, 591.0, 100.0, 0.5509071946144104, 0.0], [527.0, 96.0, 539.0, 130.0, 0.5349488258361816, 0.0], [327.0, 121.0, 343.0, 154.0, 0.428846538066864, 0.0], [633.0, 87.0, 640.0, 110.0, 0.4032687544822693, 0.0], [136.0, 79.0, 146.0, 98.0, 0.34438857436180115, 0.0], [365.0, 87.0, 377.0, 110.0, 0.34380558133125305, 0.0]]"
7600,"[[298.0, 125.0, 313.0, 162.0, 0.7234253287315369, 0.0], [376.0, 321.0, 411.0, 360.0, 0.6557058095932007, 0.0], [558.0, 109.0, 576.0, 142.0, 0.6068981289863586, 0.0], [0.0, 114.0, 17.0, 142.0, 0.4665321409702301, 0.0], [129.0, 87.0, 141.0, 112.0, 0.3585023880004883, 0.0], [541.0, 97.0, 553.0, 116.0, 0.3086715042591095, 0.0]]"
7700,"[[336.0, 207.0, 361.0, 248.0, 0.7181193828582764, 0.0], [606.0, 137.0, 624.0, 175.0, 0.6984890103340149, 0.0], [339.0, 99.0, 352.0, 123.0, 0.511481523513794, 0.0], [260.0, 164.0, 275.0, 184.0, 0.47031348943710327, 0.0], [14.0, 138.0, 31.0, 166.0, 0.34362393617630005, 0.0], [63.0, 112.0, 76.0, 133.0, 0.3036663234233856, 0.0]]"
7800,"[[118.0, 102.0, 131.0, 124.0, 0.6392651796340942, 0.0], [160.0, 75.0, 167.0, 90.0, 0.4353174567222595, 0.0], [604.0, 88.0, 621.0, 117.0, 0.31776922941207886, 0.0], [328.0, 121.0, 341.0, 150.0, 0.2579445242881775, 0.0]]"
7900,"[[142.0, 115.0, 156.0, 144.0, 0.5016126036643982, 0.0], [593.0, 112.0, 607.0, 141.0, 0.42902296781539917, 0.0], [39.0, 222.0, 64.0, 258.0, 0.3359474539756775, 0.0], [34.0, 219.0, 51.0, 245.0, 0.27774015069007874, 0.0], [32.0, 223.0, 44.0, 253.0, 0.251564085483551, 0.0]]"
8000,"[[367.0, 156.0, 386.0, 195.0, 0.6347326636314392, 0.0], [128.0, 102.0, 140.0, 127.0, 0.4172186553478241, 0.0], [633.0, 91.0, 640.0, 108.0, 0.25837457180023193, 0.0]]"
8100,"[[469.0, 80.0, 480.0, 110.0, 0.48064351081848145, 0.0], [576.0, 82.0, 596.0, 138.0, 0.39589500427246094, 0.0], [168.0, 73.0, 176.0, 87.0, 0.33491212129592896, 0.0]]"
8200,"[[502.0, 101.0, 514.0, 129.0, 0.5846887826919556, 0.0], [542.0, 100.0, 554.0, 127.0, 0.5119706392288208, 0.0], [558.0, 103.0, 572.0, 132.0, 0.47104138135910034, 0.0], [588.0, 105.0, 604.0, 147.0, 0.444724977016449, 0.0], [45.0, 124.0, 61.0, 152.0, 0.4187399446964264, 0.0], [1.0, 132.0, 21.0, 158.0, 0.3178001940250397, 0.0], [502.0, 97.0, 525.0, 127.0, 0.29107120633125305, 0.0]]"
8300,"[[547.0, 116.0, 560.0, 150.0, 0.5928090810775757, 0.0], [308.0, 146.0, 325.0, 180.0, 0.5658767819404602, 0.0], [84.0, 113.0, 97.0, 133.0, 0.5377634763717651, 0.0], [589.0, 123.0, 602.0, 151.0, 0.5036406517028809, 0.0], [184.0, 67.0, 191.0, 80.0, 0.4662359356880188, 0.0], [559.0, 113.0, 569.0, 143.0, 0.4227312207221985, 0.0], [579.0, 117.0, 588.0, 143.0, 0.3334483504295349, 0.0], [7.0, 100.0, 16.0, 121.0, 0.2790600657463074, 0.0], [582.0, 120.0, 598.0, 148.0, 0.25076672434806824, 0.0]]"
8400,"[[594.0, 138.0, 610.0, 174.0, 0.772550106048584, 0.0], [574.0, 123.0, 588.0, 155.0, 0.666407585144043, 0.0], [51.0, 120.0, 63.0, 149.0, 0.5385532379150391, 0.0], [182.0, 68.0, 189.0, 82.0, 0.342790424823761, 0.0], [320.0, 99.0, 333.0, 126.0, 0.3116309642791748, 0.0]]"
8500,"[[605.0, 140.0, 619.0, 171.0, 0.6836413741111755, 0.0], [330.0, 256.0, 358.0, 302.0, 0.5459530353546143, 0.0], [585.0, 123.0, 599.0, 150.0, 0.4546761214733124, 0.0], [310.0, 65.0, 316.0, 77.0, 0.3947713077068329, 0.0], [593.0, 124.0, 607.0, 151.0, 0.297299325466156, 0.0], [321.0, 72.0, 328.0, 88.0, 0.2866010069847107, 0.0]]"
8600,"[[407.0, 246.0, 438.0, 296.0, 0.6846963763237, 0.0], [88.0, 112.0, 101.0, 134.0, 0.6323010921478271, 0.0], [606.0, 130.0, 619.0, 162.0, 0.6036409139633179, 0.0], [271.0, 208.0, 296.0, 249.0, 0.5905799269676208, 0.0], [329.0, 140.0, 346.0, 171.0, 0.5437768697738647, 0.0], [591.0, 126.0, 603.0, 163.0, 0.4116768538951874, 0.0], [509.0, 250.0, 535.0, 292.0, 0.3932305872440338, 0.0], [600.0, 128.0, 615.0, 162.0, 0.26159459352493286, 0.0]]"
8700,"[[625.0, 139.0, 640.0, 187.0, 0.6476248502731323, 0.0], [568.0, 125.0, 581.0, 154.0, 0.6396900415420532, 0.0], [379.0, 196.0, 397.0, 236.0, 0.5263086557388306, 0.0], [363.0, 163.0, 381.0, 194.0, 0.5137346982955933, 0.0], [105.0, 117.0, 117.0, 142.0, 0.4431920051574707, 0.0], [108.0, 92.0, 118.0, 113.0, 0.42192602157592773, 0.0], [590.0, 126.0, 602.0, 151.0, 0.2718895673751831, 0.0]]"
8800,"[[589.0, 136.0, 603.0, 173.0, 0.7202119827270508, 0.0], [183.0, 94.0, 191.0, 110.0, 0.3252061605453491, 0.0]]"
