frame,number of objects
2800,"[[500.0, 31.0, 626.0, 358.0, 0.9298261404037476, 0.0], [225.0, 131.0, 276.0, 188.0, 0.8087919354438782, 0.0], [230.0, 188.0, 342.0, 349.0, 0.7877961993217468, 0.0], [48.0, 119.0, 89.0, 160.0, 0.7371591925621033, 0.0], [46.0, 204.0, 195.0, 359.0, 0.6629692912101746, 0.0], [0.0, 123.0, 78.0, 254.0, 0.6428250670433044, 0.0], [65.0, 120.0, 136.0, 197.0, 0.6120501756668091, 0.0], [1.0, 122.0, 45.0, 175.0, 0.44712093472480774, 0.0], [123.0, 136.0, 175.0, 211.0, 0.4200475811958313, 0.0]]"
2900,"[[465.0, 34.0, 589.0, 352.0, 0.9174184203147888, 0.0], [175.0, 156.0, 371.0, 352.0, 0.8148583173751831, 0.0], [185.0, 132.0, 243.0, 188.0, 0.7165617346763611, 0.0], [83.0, 136.0, 127.0, 199.0, 0.6366862058639526, 0.0], [10.0, 98.0, 176.0, 357.0, 0.559700608253479, 0.0], [35.0, 89.0, 101.0, 191.0, 0.48071205615997314, 0.0], [4.0, 117.0, 47.0, 161.0, 0.4451366066932678, 0.0]]"
3000,"[[379.0, 39.0, 497.0, 342.0, 0.9189425706863403, 0.0], [180.0, 176.0, 324.0, 351.0, 0.843965470790863, 0.0], [185.0, 133.0, 237.0, 188.0, 0.8129982948303223, 0.0], [1.0, 181.0, 172.0, 360.0, 0.7802101373672485, 0.0], [85.0, 138.0, 129.0, 198.0, 0.7706767320632935, 0.0], [1.0, 119.0, 46.0, 159.0, 0.7351260185241699, 0.0], [39.0, 114.0, 98.0, 184.0, 0.6222065091133118, 0.0]]"
3100,"[[506.0, 44.0, 619.0, 349.0, 0.9386472105979919, 0.0], [179.0, 183.0, 322.0, 350.0, 0.8745368719100952, 0.0], [186.0, 134.0, 237.0, 187.0, 0.8312219977378845, 0.0], [0.0, 143.0, 143.0, 358.0, 0.8041670322418213, 0.0], [2.0, 119.0, 47.0, 161.0, 0.7006551623344421, 0.0], [41.0, 115.0, 96.0, 180.0, 0.6466507315635681, 0.0]]"
3200,"[[513.0, 46.0, 621.0, 347.0, 0.9423129558563232, 0.0], [175.0, 179.0, 314.0, 350.0, 0.875300407409668, 0.0], [187.0, 133.0, 239.0, 187.0, 0.7634073495864868, 0.0], [2.0, 120.0, 44.0, 161.0, 0.6930584907531738, 0.0], [0.0, 166.0, 206.0, 360.0, 0.6753408908843994, 0.0], [28.0, 117.0, 112.0, 197.0, 0.6634519696235657, 0.0], [87.0, 119.0, 149.0, 197.0, 0.4801819622516632, 0.0]]"
3300,"[[437.0, 47.0, 517.0, 324.0, 0.8947130441665649, 0.0], [211.0, 195.0, 346.0, 347.0, 0.8514630198478699, 0.0], [0.0, 184.0, 180.0, 359.0, 0.8359711766242981, 0.0], [188.0, 133.0, 240.0, 188.0, 0.7769551277160645, 0.0], [52.0, 123.0, 102.0, 204.0, 0.6666337251663208, 0.0], [2.0, 122.0, 51.0, 162.0, 0.5053209066390991, 0.0], [91.0, 123.0, 143.0, 198.0, 0.41981789469718933, 0.0]]"
3400,"[[450.0, 39.0, 531.0, 305.0, 0.8864132165908813, 0.0], [10.0, 220.0, 197.0, 359.0, 0.8742144107818604, 0.0], [209.0, 196.0, 347.0, 347.0, 0.8181672692298889, 0.0], [186.0, 133.0, 240.0, 188.0, 0.7566083073616028, 0.0], [2.0, 120.0, 45.0, 162.0, 0.6381081342697144, 0.0], [34.0, 116.0, 132.0, 225.0, 0.4581737220287323, 0.0], [0.0, 163.0, 37.0, 274.0, 0.4463568925857544, 0.0], [69.0, 88.0, 165.0, 197.0, 0.29654499888420105, 0.0]]"
3500,"[[413.0, 40.0, 513.0, 319.0, 0.9194585084915161, 0.0], [3.0, 205.0, 176.0, 360.0, 0.9039208292961121, 0.0], [186.0, 133.0, 240.0, 188.0, 0.822229266166687, 0.0], [211.0, 198.0, 345.0, 346.0, 0.81075119972229, 0.0], [85.0, 131.0, 139.0, 199.0, 0.7089596390724182, 0.0], [1.0, 120.0, 45.0, 159.0, 0.6730055212974548, 0.0], [20.0, 122.0, 96.0, 207.0, 0.5908916592597961, 0.0], [0.0, 161.0, 37.0, 265.0, 0.4679690897464752, 0.0]]"
3600,"[[0.0, 205.0, 174.0, 357.0, 0.8850138187408447, 0.0], [213.0, 197.0, 344.0, 349.0, 0.8260894417762756, 0.0], [186.0, 133.0, 239.0, 188.0, 0.8251949548721313, 0.0], [328.0, 37.0, 437.0, 322.0, 0.7906438112258911, 0.0], [1.0, 120.0, 45.0, 159.0, 0.7127349376678467, 0.0], [18.0, 119.0, 97.0, 208.0, 0.6666457653045654, 0.0], [87.0, 133.0, 139.0, 201.0, 0.5604854226112366, 0.0], [0.0, 159.0, 37.0, 264.0, 0.35622352361679077, 0.0]]"
3700,"[[2.0, 205.0, 127.0, 359.0, 0.8970929980278015, 0.0], [451.0, 42.0, 536.0, 313.0, 0.8690645098686218, 0.0], [212.0, 199.0, 344.0, 349.0, 0.8070763349533081, 0.0], [186.0, 133.0, 241.0, 188.0, 0.7789676785469055, 0.0], [1.0, 120.0, 46.0, 159.0, 0.6945993900299072, 0.0], [16.0, 119.0, 98.0, 200.0, 0.6649273037910461, 0.0], [83.0, 135.0, 141.0, 279.0, 0.42440953850746155, 0.0], [0.0, 167.0, 36.0, 266.0, 0.3960656523704529, 0.0], [87.0, 134.0, 142.0, 201.0, 0.32492852210998535, 0.0]]"
