frame,number of cars
11,"[[68.0, 293.0, 146.0, 338.0, 0.903232753276825, 2.0], [309.0, 263.0, 352.0, 294.0, 0.8814897537231445, 2.0], [374.0, 204.0, 392.0, 219.0, 0.752117395401001, 2.0], [377.0, 221.0, 401.0, 240.0, 0.643186628818512, 2.0], [562.0, 219.0, 583.0, 237.0, 0.5972716808319092, 2.0], [90.0, 155.0, 116.0, 167.0, 0.5258144736289978, 2.0], [194.0, 156.0, 214.0, 166.0, 0.5131136178970337, 2.0], [511.0, 199.0, 527.0, 209.0, 0.4259137511253357, 2.0], [408.0, 183.0, 418.0, 192.0, 0.41194823384284973, 2.0], [448.0, 178.0, 457.0, 187.0, 0.3606041371822357, 2.0], [519.0, 186.0, 529.0, 193.0, 0.34885963797569275, 2.0], [506.0, 189.0, 517.0, 197.0, 0.279866486787796, 2.0]]"
12,"[[53.0, 297.0, 135.0, 344.0, 0.9011456966400146, 2.0], [304.0, 263.0, 348.0, 297.0, 0.8804293274879456, 2.0], [373.0, 205.0, 391.0, 219.0, 0.7657009959220886, 2.0], [375.0, 222.0, 400.0, 242.0, 0.742803156375885, 2.0], [674.0, 444.0, 819.0, 539.0, 0.7281591892242432, 2.0], [87.0, 155.0, 113.0, 167.0, 0.5349637269973755, 2.0], [407.0, 183.0, 417.0, 193.0, 0.5231517553329468, 2.0], [932.0, 351.0, 960.0, 390.0, 0.5035681128501892, 2.0], [560.0, 218.0, 581.0, 236.0, 0.4568174481391907, 2.0], [193.0, 155.0, 212.0, 166.0, 0.3985142111778259, 2.0], [511.0, 199.0, 525.0, 209.0, 0.3346480131149292, 2.0], [448.0, 178.0, 456.0, 187.0, 0.3233768045902252, 2.0], [519.0, 185.0, 529.0, 193.0, 0.27566614747047424, 2.0]]"
13,"[[661.0, 427.0, 794.0, 533.0, 0.9217666387557983, 2.0], [37.0, 303.0, 123.0, 351.0, 0.8868498206138611, 2.0], [298.0, 265.0, 343.0, 300.0, 0.8749775290489197, 2.0], [915.0, 337.0, 960.0, 386.0, 0.8201481699943542, 2.0], [370.0, 205.0, 390.0, 220.0, 0.7467890381813049, 2.0], [373.0, 221.0, 398.0, 243.0, 0.6647508144378662, 2.0], [406.0, 184.0, 417.0, 193.0, 0.5888262391090393, 2.0], [558.0, 217.0, 579.0, 235.0, 0.535953938961029, 2.0], [82.0, 155.0, 111.0, 167.0, 0.46706318855285645, 2.0], [446.0, 178.0, 456.0, 188.0, 0.4288325607776642, 2.0], [191.0, 155.0, 210.0, 166.0, 0.42595961689949036, 2.0], [510.0, 198.0, 524.0, 209.0, 0.3811374604701996, 2.0], [518.0, 185.0, 529.0, 193.0, 0.2836041748523712, 2.0]]"
14,"[[20.0, 307.0, 112.0, 358.0, 0.8962341547012329, 2.0], [293.0, 269.0, 339.0, 305.0, 0.8731595277786255, 2.0], [650.0, 411.0, 773.0, 510.0, 0.8105223178863525, 2.0], [370.0, 222.0, 395.0, 245.0, 0.7445318698883057, 2.0], [368.0, 206.0, 387.0, 220.0, 0.7152107357978821, 2.0], [900.0, 330.0, 960.0, 395.0, 0.6193616986274719, 2.0], [405.0, 184.0, 416.0, 193.0, 0.6132116317749023, 2.0], [557.0, 217.0, 577.0, 234.0, 0.6085984110832214, 2.0], [510.0, 198.0, 523.0, 208.0, 0.5704448819160461, 2.0], [444.0, 178.0, 455.0, 188.0, 0.5221766829490662, 2.0], [190.0, 155.0, 209.0, 166.0, 0.44139379262924194, 2.0], [80.0, 155.0, 107.0, 168.0, 0.3788670599460602, 2.0], [516.0, 185.0, 527.0, 192.0, 0.2971123456954956, 2.0]]"
15,"[[641.0, 396.0, 754.0, 487.0, 0.9191789031028748, 2.0], [3.0, 312.0, 100.0, 365.0, 0.897284746170044, 2.0], [287.0, 272.0, 335.0, 307.0, 0.8879197835922241, 2.0], [368.0, 223.0, 393.0, 247.0, 0.7580811381340027, 2.0], [884.0, 325.0, 960.0, 388.0, 0.7347987294197083, 2.0], [366.0, 206.0, 386.0, 221.0, 0.6898441314697266, 2.0], [508.0, 197.0, 522.0, 208.0, 0.5374200940132141, 2.0], [78.0, 156.0, 104.0, 168.0, 0.5158721804618835, 2.0], [404.0, 185.0, 414.0, 193.0, 0.48377200961112976, 2.0], [555.0, 216.0, 575.0, 234.0, 0.4353431761264801, 2.0], [444.0, 178.0, 456.0, 188.0, 0.4108119308948517, 2.0], [189.0, 155.0, 208.0, 166.0, 0.40570175647735596, 2.0], [516.0, 185.0, 527.0, 192.0, 0.3047107458114624, 2.0]]"
16,"[[631.0, 383.0, 736.0, 468.0, 0.8862910866737366, 2.0], [280.0, 275.0, 332.0, 312.0, 0.8726643323898315, 2.0], [0.0, 317.0, 84.0, 372.0, 0.8619734644889832, 2.0], [364.0, 225.0, 391.0, 247.0, 0.700111448764801, 2.0], [364.0, 206.0, 385.0, 221.0, 0.6505668759346008, 2.0], [554.0, 215.0, 574.0, 234.0, 0.5663799047470093, 2.0], [75.0, 156.0, 103.0, 168.0, 0.5392481684684753, 2.0], [190.0, 155.0, 207.0, 166.0, 0.46350112557411194, 2.0], [402.0, 185.0, 413.0, 194.0, 0.3736993372440338, 2.0], [506.0, 198.0, 522.0, 208.0, 0.3267173171043396, 2.0], [444.0, 179.0, 452.0, 188.0, 0.30819419026374817, 2.0]]"
17,"[[0.0, 323.0, 70.0, 381.0, 0.8944085240364075, 2.0], [624.0, 370.0, 722.0, 451.0, 0.8874111771583557, 2.0], [274.0, 278.0, 327.0, 316.0, 0.8587636947631836, 2.0], [362.0, 208.0, 383.0, 222.0, 0.8003911375999451, 2.0], [362.0, 226.0, 390.0, 248.0, 0.6098120212554932, 2.0], [401.0, 186.0, 411.0, 195.0, 0.5663333535194397, 2.0], [552.0, 215.0, 572.0, 233.0, 0.5395971536636353, 2.0], [189.0, 155.0, 206.0, 167.0, 0.3851241171360016, 2.0], [73.0, 156.0, 97.0, 168.0, 0.3793156147003174, 2.0], [858.0, 314.0, 958.0, 373.0, 0.3757249712944031, 2.0], [504.0, 196.0, 520.0, 207.0, 0.3737768828868866, 2.0], [502.0, 188.0, 517.0, 201.0, 0.26876410841941833, 2.0]]"
18,"[[266.0, 282.0, 321.0, 321.0, 0.8837597966194153, 2.0], [0.0, 329.0, 53.0, 386.0, 0.8600912690162659, 2.0], [360.0, 209.0, 381.0, 223.0, 0.8558028340339661, 2.0], [617.0, 359.0, 709.0, 436.0, 0.8148601651191711, 2.0], [359.0, 228.0, 388.0, 250.0, 0.7710686326026917, 2.0], [67.0, 157.0, 96.0, 168.0, 0.607477605342865, 2.0], [400.0, 186.0, 411.0, 195.0, 0.5360355973243713, 2.0], [845.0, 310.0, 947.0, 365.0, 0.49124184250831604, 2.0], [506.0, 198.0, 520.0, 207.0, 0.3825348913669586, 2.0], [187.0, 156.0, 204.0, 167.0, 0.36735352873802185, 2.0], [551.0, 214.0, 570.0, 232.0, 0.3618824779987335, 2.0]]"
19,"[[609.0, 353.0, 695.0, 423.0, 0.9166677594184875, 2.0], [258.0, 285.0, 315.0, 328.0, 0.8926346302032471, 2.0], [0.0, 336.0, 38.0, 382.0, 0.8802250027656555, 2.0], [357.0, 229.0, 385.0, 252.0, 0.7143936157226562, 2.0], [359.0, 209.0, 380.0, 224.0, 0.7047653794288635, 2.0], [835.0, 304.0, 934.0, 361.0, 0.6503846049308777, 2.0], [399.0, 186.0, 410.0, 196.0, 0.5065763592720032, 2.0], [64.0, 157.0, 94.0, 168.0, 0.5012778639793396, 2.0], [549.0, 214.0, 569.0, 231.0, 0.46392905712127686, 2.0], [504.0, 197.0, 519.0, 206.0, 0.36940017342567444, 2.0], [186.0, 156.0, 202.0, 167.0, 0.2964000105857849, 2.0]]"
20,"[[252.0, 289.0, 312.0, 332.0, 0.8983150124549866, 2.0], [357.0, 209.0, 378.0, 226.0, 0.8445144295692444, 2.0], [0.0, 343.0, 20.0, 384.0, 0.7662911415100098, 2.0], [603.0, 343.0, 685.0, 410.0, 0.7644352316856384, 2.0], [354.0, 230.0, 382.0, 254.0, 0.6617494225502014, 2.0], [399.0, 187.0, 409.0, 196.0, 0.6488792896270752, 2.0], [62.0, 157.0, 92.0, 170.0, 0.5916330218315125, 2.0], [548.0, 214.0, 567.0, 230.0, 0.5182380080223083, 2.0], [503.0, 196.0, 518.0, 207.0, 0.4449036717414856, 2.0], [826.0, 300.0, 916.0, 352.0, 0.4404197931289673, 2.0], [439.0, 178.0, 450.0, 190.0, 0.3058352768421173, 2.0]]"
21,"[[243.0, 293.0, 306.0, 339.0, 0.8912219405174255, 2.0], [598.0, 336.0, 675.0, 399.0, 0.888364315032959, 2.0], [546.0, 213.0, 567.0, 229.0, 0.7675784826278687, 2.0], [352.0, 230.0, 382.0, 255.0, 0.6904646754264832, 2.0], [356.0, 210.0, 377.0, 227.0, 0.6769911646842957, 2.0], [61.0, 157.0, 89.0, 170.0, 0.6415261626243591, 2.0], [398.0, 187.0, 409.0, 196.0, 0.6011738181114197, 2.0], [812.0, 297.0, 904.0, 348.0, 0.5865012407302856, 2.0], [183.0, 157.0, 201.0, 168.0, 0.36785104870796204, 2.0], [502.0, 195.0, 517.0, 206.0, 0.3422969877719879, 2.0], [498.0, 188.0, 515.0, 205.0, 0.3080750107765198, 2.0], [439.0, 179.0, 450.0, 191.0, 0.27509310841560364, 2.0]]"
22,"[[593.0, 329.0, 665.0, 388.0, 0.8912374377250671, 2.0], [235.0, 297.0, 299.0, 344.0, 0.88080894947052, 2.0], [545.0, 212.0, 565.0, 229.0, 0.8102458715438843, 2.0], [353.0, 210.0, 375.0, 227.0, 0.7909880876541138, 2.0], [803.0, 293.0, 890.0, 344.0, 0.7709432244300842, 2.0], [350.0, 232.0, 380.0, 257.0, 0.7050721645355225, 2.0], [397.0, 187.0, 408.0, 196.0, 0.6835685968399048, 2.0], [58.0, 157.0, 87.0, 169.0, 0.5927173495292664, 2.0], [352.0, 212.0, 376.0, 245.0, 0.4724002778530121, 2.0], [498.0, 187.0, 516.0, 205.0, 0.2609351575374603, 2.0], [439.0, 179.0, 449.0, 191.0, 0.2558640241622925, 2.0]]"
23,"[[225.0, 302.0, 292.0, 351.0, 0.9036007523536682, 2.0], [588.0, 322.0, 656.0, 380.0, 0.8581299185752869, 2.0], [352.0, 212.0, 373.0, 228.0, 0.8061155080795288, 2.0], [347.0, 234.0, 378.0, 259.0, 0.7574658989906311, 2.0], [396.0, 188.0, 408.0, 197.0, 0.7114060521125793, 2.0], [545.0, 212.0, 563.0, 228.0, 0.6697825789451599, 2.0], [54.0, 157.0, 84.0, 169.0, 0.6002888083457947, 2.0], [438.0, 180.0, 449.0, 191.0, 0.3297574818134308, 2.0], [794.0, 290.0, 875.0, 338.0, 0.2657015323638916, 2.0], [502.0, 196.0, 516.0, 206.0, 0.2527585029602051, 2.0]]"
24,"[[215.0, 306.0, 287.0, 359.0, 0.9030922055244446, 2.0], [351.0, 212.0, 372.0, 229.0, 0.8231392502784729, 2.0], [344.0, 234.0, 375.0, 260.0, 0.8001335263252258, 2.0], [544.0, 212.0, 561.0, 227.0, 0.7611334919929504, 2.0], [584.0, 316.0, 648.0, 371.0, 0.7522220015525818, 2.0], [396.0, 188.0, 407.0, 197.0, 0.6367461085319519, 2.0], [786.0, 286.0, 865.0, 333.0, 0.616590678691864, 2.0], [52.0, 157.0, 80.0, 170.0, 0.6102052330970764, 2.0], [437.0, 182.0, 448.0, 192.0, 0.34667256474494934, 2.0], [502.0, 196.0, 514.0, 206.0, 0.3342045545578003, 2.0], [512.0, 183.0, 521.0, 193.0, 0.2589443624019623, 2.0]]"
25,"[[204.0, 310.0, 280.0, 366.0, 0.8927248120307922, 2.0], [579.0, 311.0, 641.0, 362.0, 0.8596788048744202, 2.0], [349.0, 212.0, 371.0, 230.0, 0.8023120164871216, 2.0], [341.0, 236.0, 373.0, 262.0, 0.7191418409347534, 2.0], [543.0, 211.0, 560.0, 226.0, 0.6957563757896423, 2.0], [49.0, 156.0, 77.0, 170.0, 0.5875319838523865, 2.0], [395.0, 188.0, 405.0, 197.0, 0.506423830986023, 2.0], [437.0, 181.0, 448.0, 192.0, 0.4066188633441925, 2.0]]"
26,"[[193.0, 316.0, 273.0, 373.0, 0.9076072573661804, 2.0], [577.0, 304.0, 635.0, 355.0, 0.8503555655479431, 2.0], [347.0, 212.0, 369.0, 230.0, 0.8052546381950378, 2.0], [338.0, 236.0, 372.0, 264.0, 0.7037819623947144, 2.0], [770.0, 279.0, 845.0, 325.0, 0.6955735683441162, 2.0], [542.0, 210.0, 560.0, 226.0, 0.6749721765518188, 2.0], [944.0, 421.0, 960.0, 461.0, 0.6327897310256958, 2.0], [47.0, 156.0, 75.0, 169.0, 0.5936869382858276, 2.0], [394.0, 188.0, 405.0, 197.0, 0.5679197907447815, 2.0], [437.0, 182.0, 448.0, 191.0, 0.42227157950401306, 2.0], [740.0, 162.0, 759.0, 171.0, 0.28214988112449646, 2.0], [498.0, 187.0, 514.0, 204.0, 0.2554777264595032, 2.0]]"
27,"[[180.0, 322.0, 264.0, 383.0, 0.8913494944572449, 2.0], [573.0, 298.0, 630.0, 348.0, 0.876373291015625, 2.0], [920.0, 407.0, 960.0, 452.0, 0.8373660445213318, 2.0], [345.0, 213.0, 368.0, 231.0, 0.7995619177818298, 2.0], [335.0, 238.0, 368.0, 266.0, 0.7363730669021606, 2.0], [44.0, 156.0, 74.0, 170.0, 0.6508832573890686, 2.0], [541.0, 210.0, 559.0, 225.0, 0.5864618420600891, 2.0], [394.0, 188.0, 404.0, 196.0, 0.5619912147521973, 2.0], [762.0, 276.0, 834.0, 319.0, 0.5614561438560486, 2.0], [436.0, 183.0, 448.0, 192.0, 0.38810139894485474, 2.0], [740.0, 161.0, 759.0, 170.0, 0.3118817210197449, 2.0]]"
28,"[[166.0, 327.0, 256.0, 392.0, 0.9099074602127075, 2.0], [570.0, 293.0, 623.0, 341.0, 0.8150901198387146, 2.0], [755.0, 273.0, 824.0, 315.0, 0.8143059015274048, 2.0], [899.0, 395.0, 960.0, 456.0, 0.8000826835632324, 2.0], [343.0, 213.0, 367.0, 230.0, 0.7823220491409302, 2.0], [540.0, 209.0, 558.0, 224.0, 0.758985161781311, 2.0], [332.0, 239.0, 366.0, 268.0, 0.7539464235305786, 2.0], [41.0, 156.0, 72.0, 169.0, 0.6489642858505249, 2.0], [393.0, 188.0, 404.0, 197.0, 0.5507559180259705, 2.0], [738.0, 161.0, 759.0, 170.0, 0.3491472005844116, 2.0], [437.0, 183.0, 448.0, 192.0, 0.2906649708747864, 2.0]]"
29,"[[151.0, 334.0, 246.0, 403.0, 0.9178289771080017, 2.0], [567.0, 291.0, 618.0, 336.0, 0.8457255363464355, 2.0], [880.0, 384.0, 960.0, 455.0, 0.8307134509086609, 2.0], [539.0, 208.0, 557.0, 223.0, 0.8280062079429626, 2.0], [890.0, 499.0, 960.0, 540.0, 0.812083899974823, 2.0], [341.0, 214.0, 365.0, 233.0, 0.7543424963951111, 2.0], [328.0, 241.0, 363.0, 270.0, 0.6622397303581238, 2.0], [748.0, 270.0, 818.0, 312.0, 0.6571947336196899, 2.0], [39.0, 156.0, 70.0, 169.0, 0.6496632099151611, 2.0], [392.0, 188.0, 404.0, 196.0, 0.6428372859954834, 2.0], [737.0, 160.0, 759.0, 170.0, 0.2934894859790802, 2.0], [498.0, 187.0, 514.0, 202.0, 0.25041139125823975, 2.0]]"
30,"[[135.0, 341.0, 236.0, 415.0, 0.9245088696479797, 2.0], [861.0, 374.0, 960.0, 440.0, 0.9189292192459106, 2.0], [865.0, 475.0, 960.0, 540.0, 0.8657912611961365, 2.0], [563.0, 286.0, 614.0, 329.0, 0.8105211853981018, 2.0], [538.0, 207.0, 556.0, 222.0, 0.7213032245635986, 2.0], [340.0, 214.0, 363.0, 232.0, 0.6801440715789795, 2.0], [38.0, 156.0, 66.0, 168.0, 0.6480976939201355, 2.0], [392.0, 188.0, 403.0, 197.0, 0.5955560803413391, 2.0], [324.0, 243.0, 362.0, 272.0, 0.5878136157989502, 2.0], [509.0, 177.0, 519.0, 188.0, 0.32077792286872864, 2.0], [498.0, 188.0, 514.0, 202.0, 0.30974918603897095, 2.0], [436.0, 181.0, 447.0, 191.0, 0.30240345001220703, 2.0]]"
31,"[[844.0, 363.0, 960.0, 428.0, 0.9268147349357605, 2.0], [117.0, 350.0, 226.0, 427.0, 0.9239714741706848, 2.0], [845.0, 455.0, 960.0, 540.0, 0.8757470846176147, 2.0], [561.0, 283.0, 609.0, 323.0, 0.8148741126060486, 2.0], [337.0, 215.0, 362.0, 233.0, 0.7781164646148682, 2.0], [538.0, 207.0, 554.0, 221.0, 0.7408088445663452, 2.0], [33.0, 155.0, 64.0, 168.0, 0.6994916796684265, 2.0], [737.0, 265.0, 800.0, 304.0, 0.5878432989120483, 2.0], [391.0, 187.0, 402.0, 197.0, 0.5315954089164734, 2.0], [435.0, 181.0, 447.0, 191.0, 0.3128339350223541, 2.0], [733.0, 160.0, 758.0, 169.0, 0.259870707988739, 2.0]]"
32,"[[97.0, 357.0, 213.0, 441.0, 0.9307981133460999, 2.0], [829.0, 354.0, 950.0, 414.0, 0.9238070249557495, 2.0], [824.0, 438.0, 960.0, 540.0, 0.9110323786735535, 2.0], [336.0, 216.0, 360.0, 234.0, 0.7893761992454529, 2.0], [559.0, 278.0, 606.0, 319.0, 0.7890018224716187, 2.0], [32.0, 154.0, 61.0, 167.0, 0.7149378657341003, 2.0], [538.0, 206.0, 553.0, 220.0, 0.6034533977508545, 2.0], [390.0, 187.0, 402.0, 197.0, 0.5281002521514893, 2.0], [731.0, 263.0, 792.0, 301.0, 0.5060625076293945, 2.0], [317.0, 243.0, 358.0, 276.0, 0.38115939497947693, 2.0], [498.0, 189.0, 512.0, 201.0, 0.34860092401504517, 2.0], [510.0, 178.0, 519.0, 187.0, 0.31881704926490784, 2.0], [435.0, 182.0, 446.0, 191.0, 0.315776526927948, 2.0], [733.0, 160.0, 755.0, 168.0, 0.30583715438842773, 2.0]]"
33,"[[815.0, 345.0, 928.0, 404.0, 0.9279032945632935, 2.0], [74.0, 367.0, 202.0, 455.0, 0.9255498051643372, 2.0], [806.0, 422.0, 960.0, 538.0, 0.8325797915458679, 2.0], [556.0, 275.0, 602.0, 314.0, 0.8253999948501587, 2.0], [726.0, 260.0, 784.0, 297.0, 0.8031336069107056, 2.0], [334.0, 215.0, 359.0, 234.0, 0.7899400591850281, 2.0], [29.0, 155.0, 58.0, 167.0, 0.7320179343223572, 2.0], [537.0, 205.0, 553.0, 219.0, 0.6380341053009033, 2.0], [314.0, 245.0, 354.0, 277.0, 0.5002851486206055, 2.0], [390.0, 187.0, 401.0, 196.0, 0.46186593174934387, 2.0], [732.0, 160.0, 755.0, 168.0, 0.37948137521743774, 2.0], [434.0, 182.0, 446.0, 191.0, 0.3529075086116791, 2.0], [497.0, 187.0, 513.0, 201.0, 0.2669273912906647, 2.0]]"
34,"[[48.0, 377.0, 187.0, 474.0, 0.9288864731788635, 2.0], [803.0, 338.0, 910.0, 392.0, 0.9067795276641846, 2.0], [790.0, 408.0, 951.0, 512.0, 0.8342136740684509, 2.0], [555.0, 271.0, 597.0, 308.0, 0.7355147004127502, 2.0], [310.0, 247.0, 352.0, 280.0, 0.7103604674339294, 2.0], [24.0, 154.0, 57.0, 167.0, 0.7041899561882019, 2.0], [332.0, 216.0, 359.0, 235.0, 0.7040266394615173, 2.0], [719.0, 258.0, 777.0, 292.0, 0.6425544023513794, 2.0], [536.0, 204.0, 552.0, 218.0, 0.6409890055656433, 2.0], [389.0, 186.0, 401.0, 196.0, 0.4506080746650696, 2.0], [433.0, 182.0, 445.0, 192.0, 0.4010399878025055, 2.0], [732.0, 159.0, 754.0, 167.0, 0.374836266040802, 2.0], [509.0, 176.0, 519.0, 187.0, 0.32734033465385437, 2.0], [498.0, 188.0, 512.0, 200.0, 0.2576809525489807, 2.0]]"
