frame,number of cars
27,"[[121.0, 214.0, 176.0, 254.0, 0.8810686469078064, 2.0], [613.0, 272.0, 640.0, 301.0, 0.829554557800293, 2.0], [230.0, 143.0, 246.0, 154.0, 0.7937853932380676, 2.0], [382.0, 200.0, 419.0, 233.0, 0.7741379141807556, 2.0], [507.0, 185.0, 556.0, 213.0, 0.6696792244911194, 2.0], [223.0, 159.0, 245.0, 178.0, 0.5886582136154175, 2.0], [29.0, 104.0, 50.0, 113.0, 0.43042290210723877, 2.0], [291.0, 120.0, 297.0, 127.0, 0.35403522849082947, 2.0], [360.0, 139.0, 373.0, 150.0, 0.307443767786026, 2.0]]"
28,"[[110.0, 218.0, 171.0, 262.0, 0.8739656209945679, 2.0], [229.0, 143.0, 245.0, 154.0, 0.7927892208099365, 2.0], [599.0, 263.0, 640.0, 301.0, 0.7262684106826782, 2.0], [502.0, 182.0, 550.0, 210.0, 0.7223443984985352, 2.0], [221.0, 160.0, 244.0, 179.0, 0.6542531847953796, 2.0], [380.0, 195.0, 415.0, 228.0, 0.5824431777000427, 2.0], [360.0, 139.0, 372.0, 150.0, 0.4356955587863922, 2.0], [612.0, 347.0, 640.0, 360.0, 0.41160374879837036, 2.0], [28.0, 105.0, 49.0, 113.0, 0.376113623380661, 2.0], [291.0, 120.0, 297.0, 127.0, 0.2765800356864929, 2.0], [329.0, 125.0, 343.0, 135.0, 0.25823402404785156, 2.0]]"
29,"[[102.0, 222.0, 164.0, 269.0, 0.8153301477432251, 2.0], [498.0, 181.0, 543.0, 208.0, 0.7830449342727661, 2.0], [227.0, 143.0, 243.0, 154.0, 0.7658764123916626, 2.0], [593.0, 332.0, 640.0, 360.0, 0.7477718591690063, 2.0], [378.0, 194.0, 413.0, 224.0, 0.7212797999382019, 2.0], [586.0, 256.0, 640.0, 304.0, 0.6507583260536194, 2.0], [220.0, 161.0, 242.0, 180.0, 0.6199418902397156, 2.0], [360.0, 138.0, 372.0, 149.0, 0.41818496584892273, 2.0], [291.0, 120.0, 297.0, 127.0, 0.2957189977169037, 2.0], [26.0, 104.0, 47.0, 113.0, 0.29310354590415955, 2.0]]"
30,"[[574.0, 247.0, 640.0, 295.0, 0.8606270551681519, 2.0], [90.0, 227.0, 158.0, 276.0, 0.8504427075386047, 2.0], [577.0, 316.0, 640.0, 359.0, 0.8303278088569641, 2.0], [496.0, 179.0, 538.0, 204.0, 0.8103519678115845, 2.0], [226.0, 143.0, 243.0, 154.0, 0.7388501167297363, 2.0], [217.0, 161.0, 240.0, 181.0, 0.6981483101844788, 2.0], [377.0, 190.0, 409.0, 220.0, 0.3934043347835541, 2.0], [25.0, 104.0, 45.0, 112.0, 0.38417476415634155, 2.0], [290.0, 120.0, 297.0, 127.0, 0.2774100601673126, 2.0], [360.0, 137.0, 371.0, 149.0, 0.26849809288978577, 2.0]]"
31,"[[563.0, 305.0, 639.0, 358.0, 0.8924776911735535, 2.0], [563.0, 242.0, 640.0, 286.0, 0.8736283183097839, 2.0], [491.0, 177.0, 532.0, 202.0, 0.8000841736793518, 2.0], [77.0, 232.0, 151.0, 286.0, 0.7980499267578125, 2.0], [223.0, 144.0, 241.0, 155.0, 0.7196885943412781, 2.0], [215.0, 162.0, 239.0, 183.0, 0.710952877998352, 2.0], [373.0, 187.0, 407.0, 216.0, 0.6723201870918274, 2.0], [359.0, 138.0, 371.0, 148.0, 0.4644180238246918, 2.0], [290.0, 120.0, 297.0, 127.0, 0.43809574842453003, 2.0], [23.0, 104.0, 44.0, 112.0, 0.32679322361946106, 2.0]]"
32,"[[63.0, 239.0, 142.0, 293.0, 0.8853640556335449, 2.0], [552.0, 235.0, 633.0, 277.0, 0.8678157925605774, 2.0], [549.0, 292.0, 640.0, 359.0, 0.8615745902061462, 2.0], [372.0, 185.0, 404.0, 212.0, 0.8031401038169861, 2.0], [223.0, 144.0, 240.0, 156.0, 0.7567912340164185, 2.0], [486.0, 176.0, 527.0, 201.0, 0.7072011232376099, 2.0], [212.0, 161.0, 238.0, 184.0, 0.5891171097755432, 2.0], [21.0, 104.0, 42.0, 111.0, 0.421427458524704, 2.0], [290.0, 120.0, 296.0, 126.0, 0.40489232540130615, 2.0], [359.0, 136.0, 370.0, 147.0, 0.3468717932701111, 2.0]]"
33,"[[544.0, 230.0, 620.0, 270.0, 0.9052655696868896, 2.0], [538.0, 281.0, 640.0, 357.0, 0.879838764667511, 2.0], [371.0, 184.0, 400.0, 209.0, 0.8333128094673157, 2.0], [49.0, 244.0, 134.0, 306.0, 0.8199371695518494, 2.0], [484.0, 174.0, 522.0, 197.0, 0.7982134222984314, 2.0], [222.0, 144.0, 238.0, 156.0, 0.775070309638977, 2.0], [210.0, 164.0, 235.0, 185.0, 0.7055729031562805, 2.0], [358.0, 135.0, 369.0, 146.0, 0.5600744485855103, 2.0], [19.0, 102.0, 40.0, 111.0, 0.553532600402832, 2.0], [290.0, 120.0, 296.0, 126.0, 0.4369982182979584, 2.0], [328.0, 123.0, 341.0, 135.0, 0.263534814119339, 2.0]]"
34,"[[33.0, 251.0, 125.0, 316.0, 0.8976845741271973, 2.0], [534.0, 224.0, 607.0, 263.0, 0.8816105723381042, 2.0], [370.0, 180.0, 399.0, 207.0, 0.7958884835243225, 2.0], [526.0, 271.0, 633.0, 343.0, 0.7450255751609802, 2.0], [480.0, 172.0, 518.0, 195.0, 0.7413959503173828, 2.0], [221.0, 144.0, 238.0, 157.0, 0.7215469479560852, 2.0], [208.0, 165.0, 233.0, 186.0, 0.6357645988464355, 2.0], [16.0, 102.0, 39.0, 112.0, 0.5506680607795715, 2.0], [289.0, 120.0, 296.0, 126.0, 0.51104736328125, 2.0], [357.0, 135.0, 369.0, 146.0, 0.4000803232192993, 2.0], [327.0, 123.0, 340.0, 135.0, 0.3039246201515198, 2.0]]"
35,"[[13.0, 259.0, 113.0, 330.0, 0.9136673808097839, 2.0], [527.0, 220.0, 595.0, 256.0, 0.8689360618591309, 2.0], [516.0, 263.0, 616.0, 330.0, 0.8195244669914246, 2.0], [369.0, 178.0, 397.0, 203.0, 0.808713436126709, 2.0], [476.0, 170.0, 513.0, 194.0, 0.7207459211349487, 2.0], [220.0, 144.0, 237.0, 157.0, 0.7090670466423035, 2.0], [289.0, 120.0, 297.0, 125.0, 0.574700653553009, 2.0], [204.0, 164.0, 231.0, 188.0, 0.5727265477180481, 2.0], [16.0, 102.0, 37.0, 112.0, 0.4648653268814087, 2.0], [357.0, 134.0, 368.0, 145.0, 0.4193669259548187, 2.0]]"
36,"[[0.0, 267.0, 103.0, 345.0, 0.9250832796096802, 2.0], [508.0, 255.0, 600.0, 316.0, 0.8833072185516357, 2.0], [520.0, 216.0, 583.0, 249.0, 0.8821795582771301, 2.0], [472.0, 170.0, 508.0, 192.0, 0.829637348651886, 2.0], [218.0, 144.0, 236.0, 157.0, 0.7642896175384521, 2.0], [368.0, 177.0, 394.0, 200.0, 0.7434532046318054, 2.0], [201.0, 167.0, 229.0, 189.0, 0.6869953870773315, 2.0], [289.0, 120.0, 296.0, 126.0, 0.546122133731842, 2.0], [357.0, 134.0, 368.0, 143.0, 0.5327850580215454, 2.0], [14.0, 102.0, 36.0, 111.0, 0.3905821442604065, 2.0]]"
